"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL3108868"	""	"None"	"425.89"	"0"	"3.92"	"40"	"O=C(Cc1ccc(F)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1"	"IC50"	"'='"	"120.0"	"nM"	"6.92"	""	""	"UO_0000065"	"16.25"	"0.35"	"3.00"	"7.85"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108867"	""	"None"	"442.35"	"0"	"4.43"	"39"	"O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1"	"IC50"	"'='"	"41.0"	"nM"	"7.39"	""	""	"UO_0000065"	"16.70"	"0.37"	"2.96"	"8.38"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108855"	""	"None"	"468.36"	"1"	"5.01"	"27"	"Cc1cc(NS(=O)(=O)c2ccc(NC(=O)C(C)(C)c3ccc(Cl)c(Cl)c3)cc2)no1"	"IC50"	"'='"	"36500.0"	"nM"	"4.44"	""	""	"UO_0000065"	"9.47"	"0.20"	"-0.57"	"4.38"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108847"	""	"None"	"423.85"	"0"	"3.76"	"18"	"Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(Cl)c(F)c3)cc2)no1"	"IC50"	"'='"	"650.0"	"nM"	"6.19"	""	""	"UO_0000065"	"14.60"	"0.30"	"2.43"	"6.11"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108841"	""	"None"	"454.33"	"0"	"4.41"	"12"	"Cc1cc(NS(=O)(=O)Cc2ccc(NC(=O)Cc3ccc(Cl)c(Cl)c3)cc2)no1"	"IC50"	"'='"	"3260.0"	"nM"	"5.49"	""	""	"UO_0000065"	"12.08"	"0.26"	"1.08"	"5.42"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108858"	""	"None"	"426.28"	"0"	"3.96"	"30, ML251"	"O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2ccon2)cc1"	"IC50"	"'='"	"130.0"	"nM"	"6.89"	""	""	"UO_0000065"	"16.15"	"0.35"	"2.93"	"6.80"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108857"	""	"None"	"435.33"	"0"	"4.98"	"29"	"O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1"	"IC50"	"'='"	"16300.0"	"nM"	"4.79"	""	""	"UO_0000065"	"11.00"	"0.23"	"-0.19"	"6.36"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108852"	""	"None"	"421.48"	"0"	"4.12"	"24"	"Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc4ccccc4c3)cc2)no1"	"IC50"	"'='"	"1830.0"	"nM"	"5.74"	""	""	"UO_0000065"	"13.61"	"0.26"	"1.62"	"5.66"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108851"	""	"None"	"415.47"	"0"	"3.28"	"22"	"COc1ccc(CC(=O)Nc2ccc(S(=O)(=O)Nc3cc(C)on3)cc2)cc1C"	"IC50"	"'='"	"20600.0"	"nM"	"4.69"	""	""	"UO_0000065"	"11.28"	"0.22"	"1.41"	"4.24"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108849"	""	"None"	"403.44"	"0"	"3.41"	"20"	"Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(C)c(F)c3)cc2)no1"	"IC50"	"'='"	"4600.0"	"nM"	"5.34"	""	""	"UO_0000065"	"13.23"	"0.26"	"1.93"	"5.27"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108839"	""	"None"	"454.34"	"0"	"4.30"	"10"	"Cc1cc(N(C)S(=O)(=O)c2ccc(NC(=O)Cc3ccc(Cl)c(Cl)c3)cc2)no1"	"IC50"	"'='"	"2060.0"	"nM"	"5.69"	""	""	"UO_0000065"	"12.52"	"0.27"	"1.39"	"6.15"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108837"	""	"None"	"440.31"	"0"	"4.02"	"8"	"Cc1cc(NS(=O)(=O)c2ccc(C(=O)NCc3ccc(Cl)c(Cl)c3)cc2)no1"	"IC50"	"'='"	"2910.0"	"nM"	"5.54"	""	""	"UO_0000065"	"12.57"	"0.27"	"1.52"	"5.47"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108836"	""	"None"	"426.33"	"0"	"4.75"	"7"	"Cc1cc(NS(=O)(=O)c2ccc(NCCc3ccc(Cl)c(Cl)c3)cc2)no1"	"IC50"	"'='"	"16300.0"	"nM"	"4.79"	""	""	"UO_0000065"	"11.23"	"0.24"	"0.04"	"5.68"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108833"	""	"None"	"392.26"	"0"	"2.39"	"4, NCGC00244110-01"	"Cc1cc(NS(=O)(=O)CCNC(=O)Cc2ccc(Cl)c(Cl)c2)no1"	"IC50"	"'='"	"16300.0"	"nM"	"4.79"	""	""	"UO_0000065"	"12.21"	"0.27"	"2.40"	"4.73"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108864"	""	"None"	"437.31"	"0"	"3.77"	"36"	"O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2cncnc2)cc1"	"IC50"	"'='"	"730.0"	"nM"	"6.14"	""	""	"UO_0000065"	"14.03"	"0.30"	"2.37"	"6.07"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108831"	""	"None"	"440.31"	"0"	"4.27"	"2"	"Cc1cc(NS(=O)(=O)c2cccc(NC(=O)Cc3ccc(Cl)c(Cl)c3)c2)no1"	"IC50"	"'='"	"16300.0"	"nM"	"4.79"	""	""	"UO_0000065"	"10.87"	"0.23"	"0.52"	"4.73"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108863"	""	"None"	"479.34"	"0"	"4.67"	"35"	"O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2ccc(C(=O)O)cc2)cc1"	"IC50"	"'='"	"290.0"	"nM"	"6.54"	""	""	"UO_0000065"	"13.64"	"0.29"	"1.87"	"5.81"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108859"	""	"None"	"425.30"	"0"	"3.70"	"31"	"O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2cc[nH]n2)cc1"	"IC50"	"'='"	"730.0"	"nM"	"6.14"	""	""	"UO_0000065"	"14.43"	"0.31"	"2.44"	"5.90"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108834"	""	"None"	"411.27"	"0"	"4.18"	"5"	"Cc1cc(NC(=O)c2csc(NC(=O)Cc3ccc(Cl)c(Cl)c3)n2)no1"	"IC50"	"'>'"	"57000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
